ID;RegioS;Perioden;BevolkingAanHetBeginVanDePeriode_1;LevendGeborenKinderen_2;Overledenen_3;TotaleVestiging_4;VestigingVanuitEenAndereGemeente_5;Immigratie_6;TotaalVertrekInclAdmCorrecties_7;VertrekNaarAndereGemeente_8;EmigratieInclusiefAdmCorrecties_9;OverigeCorrecties_10;Bevolkingsgroei_11;BevolkingsgroeiRelatief_12;BevolkingsgroeiSinds1Januari_13;BevolkingsgroeiSinds1JanuariRela_14;BevolkingAanHetEindeVanDePeriode_15
114877;GM0344;2004MM07;271654;420;158;1680;1514;166;1877;1518;359;;65;    0.02;1475;    0.55;271719
114878;GM0344;2004MM08;271719;365;185;2271;2028;243;1675;1430;245;;776;    0.29;2251;    0.83;272495
114879;GM0344;2004MM09;272495;372;152;3071;2375;696;1676;1468;208;;1615;    0.59;3866;    1.43;274110
114880;GM0344;2004MM10;274110;367;175;1769;1565;204;1465;1239;226;;496;    0.18;4362;    1.61;274606
114881;GM0344;2004MM11;274606;341;141;1582;1382;200;1375;1198;177;;407;    0.15;4769;    1.76;275013
114882;GM0344;2004MM12;275013;351;163;1468;1263;205;1575;1272;303;164;245;    0.09;5014;    1.86;275258
114883;GM0344;2004JJ00;270244;4318;2004;20616;17886;2730;18080;14920;3160;164;5014;    1.86;5014;    1.86;275258
114884;GM0344;2005MM01;275258;374;204;1569;1401;168;1364;1174;190;;375;    0.14;375;    0.14;275633
114885;GM0344;2005MM02;275633;332;169;1641;1289;352;1328;1132;196;;476;    0.17;851;    0.31;276109
114886;GM0344;2005MM03;276109;360;190;1498;1321;177;1567;1226;341;;101;    0.04;952;    0.35;276210
114887;GM0344;2005MM04;276210;377;180;1501;1325;176;1339;1210;129;;359;    0.13;1311;    0.48;276569
114888;GM0344;2005MM05;276569;340;154;1229;1111;118;1221;1047;174;;194;    0.07;1505;    0.55;276763
114889;GM0344;2005MM06;276763;374;168;1419;1295;124;1566;1294;272;;59;    0.02;1564;    0.57;276822
114890;GM0344;2005MM07;276822;376;125;1760;1595;165;1911;1512;399;;100;    0.04;1664;    0.60;276922
114891;GM0344;2005MM08;276922;387;136;2277;2025;252;1968;1571;397;;560;    0.20;2224;    0.81;277482
114892;GM0344;2005MM09;277482;371;146;3219;2409;810;1933;1501;432;;1511;    0.54;3735;    1.36;278993
114893;GM0344;2005MM10;278993;392;140;2043;1848;195;1637;1369;268;;658;    0.24;4393;    1.60;279651
114894;GM0344;2005MM11;279651;354;136;1950;1790;160;1454;1183;271;;714;    0.26;5107;    1.86;280365
114895;GM0344;2005MM12;280365;357;162;1698;1545;153;1463;1269;194;154;584;    0.21;5691;    2.07;280949
114896;GM0344;2005JJ00;275258;4394;1910;21804;18954;2850;18751;15488;3263;154;5691;    2.07;5691;    2.07;280949
114897;GM0344;2006MM01;280949;353;164;1906;1710;196;1741;1404;337;;354;    0.13;354;    0.13;281303
114898;GM0344;2006MM02;281303;363;156;1880;1574;306;1525;1248;277;;562;    0.20;916;    0.33;281865
114899;GM0344;2006MM03;281865;348;162;1984;1793;191;1728;1364;364;;442;    0.16;1358;    0.48;282307
114900;GM0344;2006MM04;282307;347;176;1568;1400;168;1316;1042;274;;423;    0.15;1781;    0.63;282730
114901;GM0344;2006MM05;282730;365;158;1583;1399;184;1489;1277;212;;301;    0.11;2082;    0.74;283031
114902;GM0344;2006MM06;283031;379;150;1579;1448;131;1484;1222;262;;324;    0.11;2406;    0.86;283355
114903;GM0344;2006MM07;283355;396;155;1816;1614;202;1825;1498;327;;232;    0.08;2638;    0.94;283587
114904;GM0344;2006MM08;283587;400;132;2562;2259;303;1973;1628;345;;857;    0.30;3495;    1.24;284444
114905;GM0344;2006MM09;284444;400;163;3320;2435;885;1896;1509;387;;1661;    0.58;5156;    1.84;286105
114906;GM0344;2006MM10;286105;424;162;2242;1961;281;1610;1329;281;;894;    0.31;6050;    2.15;286999
114907;GM0344;2006MM11;286999;349;148;2135;1946;189;1521;1308;213;;815;    0.28;6865;    2.44;287814
114908;GM0344;2006MM12;287814;390;164;1705;1587;118;1528;1296;232;184;587;    0.20;7452;    2.65;288401
114909;GM0344;2006JJ00;280949;4514;1890;24280;21126;3154;19636;16125;3511;184;7452;    2.65;7452;    2.65;288401
114910;GM0344;2007MM01;288401;389;163;1948;1738;210;1699;1424;275;;475;    0.16;475;    0.16;288876
114911;GM0344;2007MM02;288876;327;166;2026;1644;382;1585;1300;285;;602;    0.21;1077;    0.37;289478
114912;GM0344;2007MM03;289478;400;156;1801;1623;178;1493;1240;253;;552;    0.19;1629;    0.56;290030
114913;GM0344;2007MM04;290030;353;140;1489;1313;176;1356;1124;232;;346;    0.12;1975;    0.68;290376
114914;GM0344;2007MM05;290376;428;158;1637;1447;190;1760;1353;407;;147;    0.05;2122;    0.74;290523
114915;GM0344;2007MM06;290523;345;157;1578;1389;189;1519;1243;276;;247;    0.09;2369;    0.82;290770
114916;GM0344;2007MM07;290770;417;155;1989;1759;230;2040;1619;421;;211;    0.07;2580;    0.89;290981
114917;GM0344;2007MM08;290981;403;150;2596;2199;397;2158;1654;504;;691;    0.24;3271;    1.13;291672
114918;GM0344;2007MM09;291672;435;157;3188;2231;957;1988;1538;450;;1478;    0.51;4749;    1.65;293150
114919;GM0344;2007MM10;293150;382;146;2202;1881;321;1923;1584;339;;515;    0.18;5264;    1.83;293665
114920;GM0344;2007MM11;293665;380;159;1928;1682;246;1582;1273;309;;567;    0.19;5831;    2.02;294232
114921;GM0344;2007MM12;294232;398;155;1534;1360;174;1437;1239;198;165;505;    0.17;6336;    2.20;294737
114922;GM0344;2007JJ00;288401;4657;1862;23916;20266;3650;20540;16591;3949;165;6336;    2.20;6336;    2.20;294737
114923;GM0344;2008MM01;294737;400;181;1945;1684;261;1849;1573;276;;315;    0.11;315;    0.11;295052
114924;GM0344;2008MM02;295052;377;158;1991;1489;502;1813;1346;467;;397;    0.13;712;    0.24;295449
114925;GM0344;2008MM03;295449;383;152;1445;1235;210;1450;1248;202;;226;    0.08;938;    0.32;295675
114926;GM0344;2008MM04;295675;391;149;1578;1355;223;1497;1323;174;;323;    0.11;1261;    0.43;295998
114927;GM0344;2008MM05;295998;422;152;1328;1120;208;1410;1237;173;;188;    0.06;1449;    0.49;296186
114928;GM0344;2008MM06;296186;392;162;1480;1246;234;1565;1378;187;;145;    0.05;1594;    0.54;296331
114929;GM0344;2008MM07;296331;457;155;1859;1599;260;2263;1737;526;;-102;   -0.03;1492;    0.51;296229
114930;GM0344;2008MM08;296229;430;145;2130;1780;350;2172;1781;391;;243;    0.08;1735;    0.59;296472
114931;GM0344;2008MM09;296472;403;127;3556;2451;1105;2011;1613;398;;1821;    0.61;3556;    1.21;298293
114932;GM0344;2008MM10;298293;407;156;2146;1722;424;1767;1516;251;;630;    0.21;4186;    1.42;298923
114933;GM0344;2008MM11;298923;409;157;1765;1466;299;1530;1250;280;;487;    0.16;4673;    1.59;299410
114934;GM0344;2008MM12;299410;385;190;1804;1570;234;1703;1406;297;185;481;    0.16;5154;    1.75;299891
114935;GM0344;2008JJ00;294737;4856;1884;23027;18717;4310;21030;17408;3622;185;5154;    1.75;5154;    1.75;299891
114936;GM0344;2009MM01;299891;392;204;1840;1593;247;1561;1351;210;;467;    0.16;467;    0.16;300358
114937;GM0344;2009MM02;300358;367;160;1957;1463;494;1590;1321;269;;574;    0.19;1041;    0.35;300932
114938;GM0344;2009MM03;300932;394;174;1730;1497;233;1451;1227;224;;499;    0.17;1540;    0.51;301431
114939;GM0344;2009MM04;301431;359;158;1440;1216;224;1277;999;278;;364;    0.12;1904;    0.63;301795
114940;GM0344;2009MM05;301795;437;139;1234;1049;185;1459;1108;351;;73;    0.02;1977;    0.66;301868
114941;GM0344;2009MM06;301868;404;124;1476;1235;241;1616;1234;382;;140;    0.05;2117;    0.71;302008
114942;GM0344;2009MM07;302008;475;146;1881;1574;307;1982;1570;412;;228;    0.08;2345;    0.78;302236
114943;GM0344;2009MM08;302236;448;125;2444;2081;363;1973;1509;464;;794;    0.26;3139;    1.05;303030
114944;GM0344;2009MM09;303030;432;164;3532;2305;1227;1839;1500;339;;1961;    0.65;5100;    1.70;304991
114945;GM0344;2009MM10;304991;387;139;2001;1641;360;1584;1372;212;;665;    0.22;5765;    1.92;305656
114946;GM0344;2009MM11;305656;427;131;1865;1639;226;1570;1307;263;;591;    0.19;6356;    2.12;306247
114947;GM0344;2009MM12;306247;447;144;1746;1578;168;1503;1257;246;288;834;    0.27;7190;    2.40;307081
114948;GM0344;2009JJ00;299891;4969;1808;23146;18871;4275;19405;15755;3650;288;7190;    2.40;7190;    2.40;307081
114949;GM0344;2010MM01;307081;393;156;1700;1455;245;1628;1283;345;;309;    0.10;309;    0.10;307390
114950;GM0344;2010MM02;307390;368;140;1906;1369;537;1732;1400;332;;402;    0.13;711;    0.23;307792
114951;GM0344;2010MM03;307792;387;180;1631;1342;289;1730;1415;315;;108;    0.04;819;    0.27;307900
114952;GM0344;2010MM04;307900;402;166;1396;1134;262;1340;1112;228;;292;    0.09;1111;    0.36;308192
114953;GM0344;2010MM05;308192;421;142;1317;1085;232;1379;1135;244;;217;    0.07;1328;    0.43;308409
114954;GM0344;2010MM06;308409;425;156;1408;1185;223;1614;1264;350;;63;    0.02;1391;    0.45;308472
114955;GM0344;2010MM07;308472;460;151;1701;1426;275;2620;1748;872;;-610;   -0.20;781;    0.25;307862
114956;GM0344;2010MM08;307862;465;126;2322;1992;330;2053;1664;389;;608;    0.20;1389;    0.45;308470
114957;GM0344;2010MM09;308470;461;145;3225;2013;1212;2031;1660;371;;1510;    0.49;2899;    0.94;309980
114958;GM0344;2010MM10;309980;412;147;2036;1709;327;1732;1383;349;;569;    0.18;3468;    1.13;310549
114959;GM0344;2010MM11;310549;420;141;1755;1488;267;1574;1292;282;;460;    0.15;3928;    1.28;311009
114960;GM0344;2010MM12;311009;427;160;1618;1379;239;1502;1255;247;-25;358;    0.12;4286;    1.40;311367
114961;GM0344;2010JJ00;307081;5041;1810;22015;17577;4438;20935;16611;4324;-25;4286;    1.40;4286;    1.40;311367
114962;GM0344;2011MM01;311367;399;151;1719;1428;291;1689;1394;295;;278;    0.09;278;    0.09;311645
114963;GM0344;2011MM02;311645;383;136;2041;1447;594;1592;1315;277;;696;    0.22;974;    0.31;312341
114964;GM0344;2011MM03;312341;411;172;1727;1404;323;1601;1292;309;;365;    0.12;1339;    0.43;312706
114965;GM0344;2011MM04;312706;363;154;1466;1222;244;1438;1178;260;;237;    0.08;1576;    0.51;312943
114966;GM0344;2011MM05;312943;465;153;1423;1169;254;1890;1285;605;;-155;   -0.05;1421;    0.46;312788
114967;GM0344;2011MM06;312788;412;140;1375;1150;225;1598;1218;380;;49;    0.02;1470;    0.47;312837
114968;GM0344;2011MM07;312837;450;151;1666;1379;287;2203;1594;609;;-238;   -0.08;1232;    0.40;312599
114969;GM0344;2011MM08;312599;450;147;2494;2106;388;2305;1835;470;;492;    0.16;1724;    0.55;313091
114970;GM0344;2011MM09;313091;440;153;3486;2128;1358;1967;1592;375;;1806;    0.58;3530;    1.13;314897
114971;GM0344;2011MM10;314897;416;160;1932;1629;303;1663;1312;351;;525;    0.17;4055;    1.30;315422
114972;GM0344;2011MM11;315422;381;172;1896;1615;281;1539;1298;241;;566;    0.18;4621;    1.48;315988
114973;GM0344;2011MM12;315988;392;166;1654;1461;193;1614;1330;284;21;287;    0.09;4908;    1.58;316275
114974;GM0344;2011JJ00;311367;4962;1855;22879;18138;4741;21099;16643;4456;21;4908;    1.58;4908;    1.58;316275
114975;GM0344;2012MM01;316275;425;176;1959;1663;296;1957;1547;410;;251;    0.08;251;    0.08;316526
114976;GM0344;2012MM02;316526;386;156;2206;1617;589;1755;1317;438;;681;    0.22;932;    0.29;317207
114977;GM0344;2012MM03;317207;438;189;1810;1526;284;1675;1423;252;;384;    0.12;1316;    0.42;317591
114978;GM0344;2012MM04;317591;390;145;1493;1275;218;1351;1091;260;;387;    0.12;1703;    0.54;317978
114979;GM0344;2012MM05;317978;445;175;1421;1168;253;1656;1184;472;;35;    0.01;1738;    0.55;318013
114980;GM0344;2012MM06;318013;426;131;1481;1243;238;1885;1513;372;;-109;   -0.03;1629;    0.52;317904
114981;GM0344;2012MM07;317904;443;146;1976;1669;307;2186;1653;533;;87;    0.03;1716;    0.54;317991
114982;GM0344;2012MM08;317991;430;131;2621;2253;368;2161;1782;379;;759;    0.24;2475;    0.78;318750
